county,age_category,quarter,susceptible,new_infected,current_infected,new_severe,cumulative_severe
San Benito,0-17,Q4,7607,0,0,0,3
San Benito,18-49,Q1,242061,606,627,4,14
San Benito,18-49,Q2,300049,7630,7972,32,214
San Benito,18-49,Q3,208157,3403,3626,32,796
San Benito,18-49,Q4,15470,0,0,0,68
San Benito,50-64,Q1,104786,231,266,5,12
San Benito,50-64,Q2,129594,3249,3734,86,557
San Benito,50-64,Q3,90179,1660,2060,83,1965
San Benito,50-64,Q4,8345,0,0,0,218
San Benito,65+,Q1,85277,185,236,8,24
San Benito,65+,Q2,111071,2778,3552,164,1025
San Benito,65+,Q3,72538,1350,1925,161,3682
San Benito,65+,Q4,9298,0,0,0,553
San Bernardino,0-17,Q1,4928046,11871,12049,6,22
San Bernardino,0-17,Q2,6361342,154569,157402,121,747
San Bernardino,0-17,Q3,4502690,79385,81416,129,3001
San Bernardino,0-17,Q4,330708,0,0,0,259
San Bernardino,18-49,Q1,8748081,22572,23433,94,372
San Bernardino,18-49,Q2,10242248,251695,263319,1257,7788
San Bernardino,18-49,Q3,7911048,143571,153093,1414,33619
San Bernardino,18-49,Q4,420610,0,0,0,2092
San Bernardino,50-64,Q1,3397507,8681,9738,134,521
San Bernardino,50-64,Q2,4150547,104169,119922,2634,15734
San Bernardino,50-64,Q3,2973600,52366,64434,2605,63170
San Bernardino,50-64,Q4,227602,0,0,0,5654
San Bernardino,65+,Q1,2532086,5920,7235,253,967
San Bernardino,65+,Q2,3394980,81618,104819,4928,29509
San Bernardino,65+,Q3,2375261,41805,60497,5120,120854
San Bernardino,65+,Q4,171029,0,0,0,10301
San Diego,0-17,Q1,7053036,18026,18320,7,32
San Diego,0-17,Q2,8659500,216523,220481,193,1093
San Diego,0-17,Q3,6097227,108065,110936,186,4514
San Diego,0-17,Q4,565553,0,0,0,486
San Diego,18-49,Q1,12789905,32802,34096,115,518
San Diego,18-49,Q2,15252344,393821,411905,2016,12396
San Diego,18-49,Q3,10783850,179727,192185,1836,46484
San Diego,18-49,Q4,820847,0,0,0,4065
San Diego,50-64,Q1,5329950,13285,14933,255,1004
San Diego,50-64,Q2,6396169,154979,178829,3904,23460
San Diego,50-64,Q3,4694254,89974,110044,4094,95462
San Diego,50-64,Q4,501354,0,1,1,12096
San Diego,65+,Q1,5021204,12782,15661,504,1995
San Diego,65+,Q2,6217581,157274,202170,9782,59010
San Diego,65+,Q3,4357403,73702,107572,9191,226158
San Diego,65+,Q4,327389,0,1,0,19871
San Francisco,0-17,Q1,1218225,3149,3194,1,5
San Francisco,0-17,Q2,1499982,37444,38081,35,199
San Francisco,0-17,Q3,1060938,18941,19430,28,747
San Francisco,0-17,Q4,88517,0,0,0,68
San Francisco,18-49,Q1,3765980,9388,9731,33,133
San Francisco,18-49,Q2,4763050,118325,123818,632,3843
San Francisco,18-49,Q3,3293742,58366,62332,569,14218
San Francisco,18-49,Q4,314663,0,0,0,1593
San Francisco,50-64,Q1,1450812,3519,3946,54,217
San Francisco,50-64,Q2,1870524,46733,53809,1142,6977
San Francisco,50-64,Q3,1290392,22177,27322,1078,26644
San Francisco,50-64,Q4,94963,0,0,0,2287
San Francisco,65+,Q1,1471927,3795,4671,152,609
San Francisco,65+,Q2,1802078,45762,58751,2789,17026
San Francisco,65+,Q3,1244546,21375,31096,2677,63958
San Francisco,65+,Q4,118434,0,0,1,7109
San Joaquin,0-17,Q1,1743551,4379,4440,3,11
San Joaquin,0-17,Q2,2147046,52391,53362,41,267
San Joaquin,0-17,Q3,1549514,28155,28854,42,987
San Joaquin,0-17,Q4,137657,0,0,0,111
San Joaquin,18-49,Q1,2926149,7463,7742,36,150
San Joaquin,18-49,Q2,3602843,86716,90810,455,2843
San Joaquin,18-49,Q3,2678518,49134,52400,454,11433
San Joaquin,18-49,Q4,189698,0,0,0,945
San Joaquin,50-64,Q1,1254512,3169,3559,55,248
San Joaquin,50-64,Q2,1575387,39516,45538,1006,6168
San Joaquin,50-64,Q3,1089595,18608,23067,938,23163
San Joaquin,50-64,Q4,89423,0,0,0,2236
San Joaquin,65+,Q1,1005121,2573,3164,98,382
San Joaquin,65+,Q2,1245105,31394,40395,1878,11327
San Joaquin,65+,Q3,864549,14552,21239,1809,43716
San Joaquin,65+,Q4,70792,0,1,0,4166
San Luis Obispo,0-17,Q1,414531,894,910,0,0
San Luis Obispo,0-17,Q2,559001,13566,13810,14,82
San Luis Obispo,0-17,Q3,372892,6661,6831,8,268
San Luis Obispo,0-17,Q4,36785,0,0,0,28
San Luis Obispo,18-49,Q1,1000847,2493,2586,7,37
San Luis Obispo,18-49,Q2,1227050,31115,32576,163,974
San Luis Obispo,18-49,Q3,870404,14623,15581,156,3770
San Luis Obispo,18-49,Q4,62468,0,0,0,321
San Luis Obispo,50-64,Q1,443859,1161,1324,19,80
San Luis Obispo,50-64,Q2,537015,13195,15202,334,2048
San Luis Obispo,50-64,Q3,394733,7215,8871,351,8256
San Luis Obispo,50-64,Q4,31700,0,0,0,775
San Luis Obispo,65+,Q1,614907,1509,1856,62,258
San Luis Obispo,65+,Q2,759238,19380,24888,1195,7184
San Luis Obispo,65+,Q3,532546,8927,12983,1118,27693
San Luis Obispo,65+,Q4,39199,0,0,0,2376
San Mateo,0-17,Q1,1387214,3580,3626,3,18
San Mateo,0-17,Q2,1699551,42636,43390,40,303
San Mateo,0-17,Q3,1212368,21070,21609,36,946
San Mateo,0-17,Q4,88968,0,0,0,83
San Mateo,18-49,Q1,2696210,6463,6728,27,122
San Mateo,18-49,Q2,3398485,83125,87009,454,2798
San Mateo,18-49,Q3,2441100,42957,45881,426,10901
San Mateo,18-49,Q4,167718,0,0,0,853
San Mateo,50-64,Q1,1438987,3615,4058,49,182
San Mateo,50-64,Q2,1816140,45791,52852,1162,6843
San Mateo,50-64,Q3,1252412,21347,26299,1014,26007
San Mateo,50-64,Q4,104113,0,0,0,2485
San Mateo,65+,Q1,1320481,3172,3920,149,543
San Mateo,65+,Q2,1710107,43052,55240,2569,16103
San Mateo,65+,Q3,1159293,19016,27828,2465,59646
San Mateo,65+,Q4,93436,0,0,0,5601
Santa Barbara,0-17,Q1,907865,2315,2356,3,19
Santa Barbara,0-17,Q2,1113927,27989,28514,25,148
Santa Barbara,0-17,Q3,765397,13805,14180,30,654
Santa Barbara,0-17,Q4,84772,0,0,0,82
Santa Barbara,18-49,Q1,1843125,4856,5023,13,60
Santa Barbara,18-49,Q2,2203555,57232,59922,299,1701
Santa Barbara,18-49,Q3,1551424,25804,27609,261,6755
Santa Barbara,18-49,Q4,115060,0,0,0,574
Santa Barbara,50-64,Q1,656471,1562,1759,34,144
Santa Barbara,50-64,Q2,840750,20980,24181,522,3247
Santa Barbara,50-64,Q3,579013,9999,12365,505,12306
Santa Barbara,50-64,Q4,51837,0,0,0,1311
Santa Barbara,65+,Q1,652750,1604,1965,66,266
Santa Barbara,65+,Q2,866207,21468,27447,1294,7788
Santa Barbara,65+,Q3,565285,9650,14073,1295,29468
Santa Barbara,65+,Q4,60127,0,0,0,3713
Santa Clara,0-17,Q1,3750532,9442,9575,4,13
Santa Clara,0-17,Q2,4611717,115749,117809,94,510
Santa Clara,0-17,Q3,3233696,56316,57775,93,2238
Santa Clara,0-17,Q4,280199,0,0,0,210
Santa Clara,18-49,Q1,7709366,20105,20862,66,278
Santa Clara,18-49,Q2,9071967,228111,238663,1185,7239
Santa Clara,18-49,Q3,6687366,117326,125177,1088,27858
Santa Clara,18-49,Q4,483308,0,0,0,2339
Santa Clara,50-64,Q1,3595040,9329,10533,160,645
Santa Clara,50-64,Q2,4055366,100007,115514,2587,15488
Santa Clara,50-64,Q3,3187082,58550,71836,2700,66031
Santa Clara,50-64,Q4,197740,0,1,0,4828
Santa Clara,65+,Q1,2849500,6672,8144,310,1148
Santa Clara,65+,Q2,3780141,95109,122394,5787,35676
Santa Clara,65+,Q3,2512761,41431,60990,5425,132254
Santa Clara,65+,Q4,210304,0,1,0,12765
Santa Cruz,0-17,Q1,511110,1329,1341,0,0
Santa Cruz,0-17,Q2,638515,16165,16450,14,68
Santa Cruz,0-17,Q3,432401,7315,7517,12,281
Santa Cruz,0-17,Q4,41060,0,0,0,37
Santa Cruz,18-49,Q1,1008528,2548,2653,6,30
Santa Cruz,18-49,Q2,1230325,31197,32592,168,979
Santa Cruz,18-49,Q3,895524,15297,16369,153,3963
Santa Cruz,18-49,Q4,50509,0,0,0,266
Santa Cruz,50-64,Q1,456150,1154,1282,23,98
Santa Cruz,50-64,Q2,552495,13511,15632,353,2071
Santa Cruz,50-64,Q3,398635,7480,9239,390,8783
Santa Cruz,50-64,Q4,39309,0,0,0,1063
Santa Cruz,65+,Q1,487484,1238,1486,32,134
Santa Cruz,65+,Q2,575935,13768,17695,852,4712
Santa Cruz,65+,Q3,432435,8655,12196,904,20637
Santa Cruz,65+,Q4,46067,0,0,0,2665
Shasta,0-17,Q1,337622,881,896,1,7
Shasta,0-17,Q2,417748,10697,10890,8,45
Shasta,0-17,Q3,290399,4695,4829,15,271
Shasta,0-17,Q4,22191,0,0,0,24
Shasta,18-49,Q1,584067,1363,1406,5,10
Shasta,18-49,Q2,759802,18397,19305,113,654
Shasta,18-49,Q3,528396,9775,10410,93,2494
Shasta,18-49,Q4,53896,0,0,0,295
Shasta,50-64,Q1,285431,693,782,16,54
Shasta,50-64,Q2,354877,9009,10319,215,1394
Shasta,50-64,Q3,245775,4099,5122,210,5157
Shasta,50-64,Q4,18460,0,0,0,448
Shasta,65+,Q1,327355,765,965,29,107
Shasta,65+,Q2,448602,10955,14139,682,4103
Shasta,65+,Q3,298440,4937,7035,583,14942
Shasta,65+,Q4,21805,0,1,0,1272
Sierra,0-17,Q1,3861,10,11,0,0
Sierra,0-17,Q2,4866,114,118,0,0
Sierra,0-17,Q3,3511,48,51,0,0
Sierra,0-17,Q4,292,0,0,0,0
Sierra,18-49,Q1,7948,20,20,0,0
Sierra,18-49,Q2,9631,230,243,0,0
Sierra,18-49,Q3,7206,135,146,2,25
Sierra,18-49,Q4,509,0,0,0,2
Sierra,50-64,Q1,5699,9,11,1,3
Sierra,50-64,Q2,7395,169,187,4,32
Sierra,50-64,Q3,5652,97,119,2,93
Sierra,50-64,Q4,412,0,0,0,7
Sierra,65+,Q1,9685,22,25,0,0
Sierra,65+,Q2,12007,305,393,18,104
Sierra,65+,Q3,8277,137,199,21,419
Sierra,65+,Q4,619,0,0,0,39
Siskiyou,0-17,Q1,76859,195,196,0,0
Siskiyou,0-17,Q2,88027,2322,2365,1,2
Siskiyou,0-17,Q3,64947,1076,1106,3,47
Siskiyou,0-17,Q4,4809,0,0,0,4
Siskiyou,18-49,Q1,126082,283,295,1,7
Siskiyou,18-49,Q2,171885,4259,4454,26,171
Siskiyou,18-49,Q3,113948,1899,2008,16,515
Siskiyou,18-49,Q4,8784,0,0,0,43
Siskiyou,50-64,Q1,64931,149,176,1,2
Siskiyou,50-64,Q2,87997,2141,2466,52,263
Siskiyou,50-64,Q3,56929,1041,1284,49,1133
Siskiyou,50-64,Q4,6285,0,0,0,144
Siskiyou,65+,Q1,110065,262,327,17,66
Siskiyou,65+,Q2,140410,3717,4849,233,1397
Siskiyou,65+,Q3,89928,1419,2059,191,4991
Siskiyou,65+,Q4,7339,0,0,0,461
Solano,0-17,Q1,862231,2262,2295,0,0
Solano,0-17,Q2,1081142,26605,27102,27,152
Solano,0-17,Q3,775034,13575,13880,19,560
Solano,0-17,Q4,58465,0,0,0,47
Solano,18-49,Q1,1609350,4007,4137,9,42
Solano,18-49,Q2,1987460,47735,49914,253,1463
Solano,18-49,Q3,1492814,27448,29204,254,6280
Solano,18-49,Q4,95761,0,0,0,474
Solano,50-64,Q1,756245,1888,2125,30,107
Solano,50-64,Q2,904409,22622,26238,555,3298
Solano,50-64,Q3,665364,11925,14742,533,13289
Solano,50-64,Q4,47576,0,0,0,1112
Solano,65+,Q1,742358,1895,2290,76,284
Solano,65+,Q2,910342,22538,28851,1381,8343
Solano,65+,Q3,643566,11249,16232,1378,32410
Solano,65+,Q4,59691,0,0,0,3522
Sonoma,0-17,Q1,781407,2043,2068,1,2
Sonoma,0-17,Q2,956004,23772,24189,13,76
Sonoma,0-17,Q3,687914,11882,12203,19,390
Sonoma,0-17,Q4,49996,0,0,0,33
Sonoma,18-49,Q1,1749886,4517,4687,17,60
Sonoma,18-49,Q2,2088417,50694,53081,264,1550
Sonoma,18-49,Q3,1586746,29555,31517,299,6867
Sonoma,18-49,Q4,111589,0,0,0,580
Sonoma,50-64,Q1,901561,2276,2523,29,136
Sonoma,50-64,Q2,1103961,27470,31582,628,3765
Sonoma,50-64,Q3,771651,13791,16989,644,14893
Sonoma,50-64,Q4,78921,0,0,0,1774
Sonoma,65+,Q1,1057320,2729,3337,102,400
Sonoma,65+,Q2,1279210,31555,40736,2000,12027
Sonoma,65+,Q3,943334,17095,24489,2065,49182
Sonoma,65+,Q4,67301,0,0,0,4151
Stanislaus,0-17,Q1,1243256,3022,3068,5,13
Stanislaus,0-17,Q2,1602731,39350,40067,47,281
Stanislaus,0-17,Q3,1110139,19709,20259,26,941
Stanislaus,0-17,Q4,97351,0,0,0,99
Stanislaus,18-49,Q1,2248524,5754,5992,20,88
Stanislaus,18-49,Q2,2642516,67218,70386,355,2237
Stanislaus,18-49,Q3,1914927,32890,35164,333,8267
Stanislaus,18-49,Q4,146332,0,0,0,740
Stanislaus,50-64,Q1,847652,2228,2478,31,115
Stanislaus,50-64,Q2,1019911,25154,28887,584,3523
Stanislaus,50-64,Q3,754881,13642,16722,677,15343
Stanislaus,50-64,Q4,55543,0,0,0,1322
Stanislaus,65+,Q1,736562,1919,2326,73,294
Stanislaus,65+,Q2,894447,22011,28346,1356,8011
Stanislaus,65+,Q3,640299,11747,16732,1349,31893
Stanislaus,65+,Q4,60473,0,0,0,3601
Sutter,0-17,Q1,211008,516,522,0,0
Sutter,0-17,Q2,263017,6761,6874,3,26
Sutter,0-17,Q3,183028,3262,3348,0,41
Sutter,0-17,Q4,13537,0,0,0,3
Sutter,18-49,Q1,371526,907,939,2,12
Sutter,18-49,Q2,458196,11358,11896,65,382
Sutter,18-49,Q3,321086,5998,6375,60,1482
Sutter,18-49,Q4,32861,0,0,0,175
Sutter,50-64,Q1,161274,393,445,7,28
Sutter,50-64,Q2,191006,4813,5524,125,781
Sutter,50-64,Q3,136392,2487,3082,111,2828
Sutter,50-64,Q4,12206,0,0,0,288
Sutter,65+,Q1,144298,358,423,15,44
Sutter,65+,Q2,180847,4601,5930,313,1905
Sutter,65+,Q3,124705,2118,3104,262,6774
Sutter,65+,Q4,9922,0,0,0,631
Tehama,0-17,Q1,130362,335,340,0,0
Tehama,0-17,Q2,161049,4031,4106,3,9
Tehama,0-17,Q3,113221,2046,2100,3,72
Tehama,0-17,Q4,8284,0,0,0,6
Tehama,18-49,Q1,219951,560,582,2,14
Tehama,18-49,Q2,273369,6825,7125,35,249
Tehama,18-49,Q3,187216,3218,3426,29,767
Tehama,18-49,Q4,16268,0,0,0,74
Tehama,50-64,Q1,99474,191,210,3,16
Tehama,50-64,Q2,132659,3240,3730,102,506
Tehama,50-64,Q3,90798,1514,1857,61,2003
Tehama,50-64,Q4,6630,0,0,0,166
Tehama,65+,Q1,118484,311,375,13,49
Tehama,65+,Q2,146183,3665,4696,206,1377
Tehama,65+,Q3,102509,1609,2373,228,5175
Tehama,65+,Q4,7721,0,0,0,452
Trinity,0-17,Q1,20349,48,50,0,0
Trinity,0-17,Q2,23841,609,618,1,10
Trinity,0-17,Q3,18394,346,358,1,26
Trinity,0-17,Q4,1338,0,0,0,2
Trinity,18-49,Q1,36428,98,101,0,0
Trinity,18-49,Q2,44789,1174,1222,7,45
Trinity,18-49,Q3,29978,519,559,8,157
Trinity,18-49,Q4,3277,0,0,0,23
Trinity,50-64,Q1,22185,60,67,1,2
Trinity,50-64,Q2,27569,678,763,14,89
Trinity,50-64,Q3,19146,339,413,14,343
Trinity,50-64,Q4,1475,0,0,0,31
Trinity,65+,Q1,38567,80,87,2,2
Trinity,65+,Q2,48050,1214,1586,82,462
Trinity,65+,Q3,33286,559,797,77,1879
Trinity,65+,Q4,2541,0,0,0,167
Tulare,0-17,Q1,1245483,3164,3201,1,5
Tulare,0-17,Q2,1510761,37358,37968,31,161
Tulare,0-17,Q3,1106686,19664,20160,24,655
Tulare,0-17,Q4,80663,0,0,0,65
Tulare,18-49,Q1,1871651,4945,5133,22,100
Tulare,18-49,Q2,2312659,59128,61892,305,2002
Tulare,18-49,Q3,1600579,26549,28479,266,6967
Tulare,18-49,Q4,121570,0,0,0,608
Tulare,50-64,Q1,657099,1728,1932,24,93
Tulare,50-64,Q2,778538,18488,21343,447,2552
Tulare,50-64,Q3,603797,11490,13929,469,11368
Tulare,50-64,Q4,42864,0,0,0,958
Tulare,65+,Q1,562104,1413,1715,50,234
Tulare,65+,Q2,690544,17457,22693,1104,6667
Tulare,65+,Q3,490473,8326,12006,1060,25909
Tulare,65+,Q4,36058,0,0,0,2226
Tuolumne,0-17,Q1,74014,190,192,1,7
Tuolumne,0-17,Q2,89633,2228,2270,4,44
Tuolumne,0-17,Q3,65725,1180,1212,4,106
Tuolumne,0-17,Q4,4717,0,0,0,9
Tuolumne,18-49,Q1,159500,384,407,1,4
Tuolumne,18-49,Q2,197315,5042,5288,26,156
Tuolumne,18-49,Q3,137047,2376,2545,30,656
Tuolumne,18-49,Q4,10096,0,0,0,57
Tuolumne,50-64,Q1,87020,255,277,4,16
Tuolumne,50-64,Q2,108470,2723,3126,60,362
Tuolumne,50-64,Q3,73654,1235,1530,58,1368
Tuolumne,50-64,Q4,8077,0,0,0,169
Tuolumne,65+,Q1,140324,375,434,9,40
Tuolumne,65+,Q2,173114,4427,5686,261,1490
Tuolumne,65+,Q3,120774,1984,2891,242,5966
Tuolumne,65+,Q4,8956,0,0,0,512
Ventura,0-17,Q1,1641727,4085,4149,2,7
Ventura,0-17,Q2,2017150,50891,51835,41,246
Ventura,0-17,Q3,1450101,24538,25210,41,996
Ventura,0-17,Q4,86831,0,0,0,73
Ventura,18-49,Q1,3083623,7863,8118,18,75
Ventura,18-49,Q2,3793130,94507,98806,480,2825
Ventura,18-49,Q3,2704170,45782,49032,459,11334
Ventura,18-49,Q4,198152,0,0,0,957
Ventura,50-64,Q1,1473271,3639,4065,70,278
Ventura,50-64,Q2,1861344,46522,53656,1097,6888
Ventura,50-64,Q3,1280188,22303,27476,1099,25907
Ventura,50-64,Q4,121938,0,0,0,2903
Ventura,65+,Q1,1378170,3466,4239,154,657
Ventura,65+,Q2,1689060,41955,53863,2516,15224
Ventura,65+,Q3,1222909,21778,31363,2670,62849
Ventura,65+,Q4,88658,0,0,0,5374
Yolo,0-17,Q1,459153,1215,1228,0,0
Yolo,0-17,Q2,561400,13953,14203,17,78
Yolo,0-17,Q3,402712,7042,7231,11,337
Yolo,0-17,Q4,30717,0,0,0,31
Yolo,18-49,Q1,990605,2546,2641,9,48
Yolo,18-49,Q2,1186982,28781,30111,131,791
Yolo,18-49,Q3,878764,16626,17659,142,3332
Yolo,18-49,Q4,78655,0,0,0,354
Yolo,50-64,Q1,290511,701,796,16,60
Yolo,50-64,Q2,378863,9425,10878,246,1583
Yolo,50-64,Q3,262040,4403,5348,181,5355
Yolo,50-64,Q4,15319,0,0,0,376
Yolo,65+,Q1,292035,775,943,30,111
Yolo,65+,Q2,357222,9089,11666,520,3242
Yolo,65+,Q3,246086,4232,6204,546,12312
Yolo,65+,Q4,24158,0,0,0,1436
Yuba,0-17,Q1,184959,462,466,1,4
Yuba,0-17,Q2,227453,5685,5797,2,24
Yuba,0-17,Q3,164549,2924,3014,6,103
Yuba,0-17,Q4,9763,0,0,0,6
Yuba,18-49,Q1,297753,802,841,6,34
Yuba,18-49,Q2,362359,9222,9649,58,404
Yuba,18-49,Q3,257970,4483,4795,38,1219
Yuba,18-49,Q4,21820,0,0,0,118
Yuba,50-64,Q1,123574,303,347,4,21
Yuba,50-64,Q2,140168,3537,4087,74,416
Yuba,50-64,Q3,109685,1949,2422,100,2157
Yuba,50-64,Q4,5137,0,0,0,125
Yuba,65+,Q1,95118,233,282,9,36
Yuba,65+,Q2,126875,3303,4275,195,1161
Yuba,65+,Q3,86430,1413,2067,173,4503
Yuba,65+,Q4,4084,0,0,0,256
