county,age_category,quarter,susceptible,new_infected,current_infected,new_severe,cumulative_severe
Del Norte,65+,Q1,47982,107,136,5,21
Del Norte,65+,Q2,59625,1506,1935,94,576
Del Norte,65+,Q3,41266,712,1044,67,1974
Del Norte,65+,Q4,3173,0,0,0,173
El Dorado,0-17,Q1,311059,732,748,1,1
El Dorado,0-17,Q2,380253,9359,9529,15,88
El Dorado,0-17,Q3,274035,4986,5095,2,232
El Dorado,0-17,Q4,22668,0,0,0,20
El Dorado,18-49,Q1,599862,1449,1501,7,35
El Dorado,18-49,Q2,766674,17867,18696,83,537
El Dorado,18-49,Q3,572569,11131,11849,101,2288
El Dorado,18-49,Q4,43646,0,0,0,211
El Dorado,50-64,Q1,343876,864,942,14,54
El Dorado,50-64,Q2,416911,10279,11912,277,1711
El Dorado,50-64,Q3,307571,5498,6750,282,6801
El Dorado,50-64,Q4,23356,0,0,0,608
El Dorado,65+,Q1,412606,1025,1241,43,195
El Dorado,65+,Q2,486838,11404,14708,718,4212
El Dorado,65+,Q3,382834,7508,10673,825,19078
El Dorado,65+,Q4,27267,0,0,1,1643
Fresno,0-17,Q1,2414369,5860,5938,6,16
Fresno,0-17,Q2,3164872,78970,80408,57,364
Fresno,0-17,Q3,2142206,36244,37216,55,1375
Fresno,0-17,Q4,165800,0,0,0,123
Fresno,18-49,Q1,4041257,10378,10792,34,137
Fresno,18-49,Q2,4981442,127433,133320,696,4295
Fresno,18-49,Q3,3447958,56272,60241,560,15134
Fresno,18-49,Q4,257981,0,0,0,1301
Fresno,50-64,Q1,1416284,3554,3977,59,223
Fresno,50-64,Q2,1737810,43832,50542,1064,6383
Fresno,50-64,Q3,1229918,21429,26436,1020,25114
Fresno,50-64,Q4,92287,0,0,0,2208
Fresno,65+,Q1,1270407,3241,3932,117,442
Fresno,65+,Q2,1520295,36896,47851,2296,13328
Fresno,65+,Q3,1145725,20827,29693,2398,57780
Fresno,65+,Q4,67142,0,0,1,3949
Glenn,0-17,Q1,63098,157,158,0,0
Glenn,0-17,Q2,80455,1983,2020,1,3
Glenn,0-17,Q3,57246,923,943,1,22
Glenn,0-17,Q4,4267,0,0,0,2
Glenn,18-49,Q1,107410,294,307,2,4
Glenn,18-49,Q2,129420,3216,3352,15,124
Glenn,18-49,Q3,93836,1730,1843,14,371
Glenn,18-49,Q4,8534,0,0,0,37
Glenn,50-64,Q1,40516,94,107,1,1
Glenn,50-64,Q2,55239,1417,1641,30,168
Glenn,50-64,Q3,35671,594,746,34,719
Glenn,50-64,Q4,3509,0,0,0,91
Glenn,65+,Q1,45479,105,123,5,21
