county,quarter,age_category,susceptible.x,new_infected,current_infected,new_severe,cumulative_severe,flu_incidence,severe_incidence,susceptible.y,cum_fully_vax,total_partial_vax,cum_atleast_one_dose,cum_unvax
Sierra,Q2,18-49,9631,230,243,0,0,2.3881216903748315,0,934,429,35,464,470
Sierra,Q2,50-64,7395,169,187,4,32,2.2853279242731577,0.05409060175794455,670,412,26,438,232
Sierra,Q2,65+,12007,305,393,18,104,2.540184892146248,0.14991255101190973,1056,658,42,700,356
Sierra,Q3,18-49,7206,135,146,2,25,1.8734388009991676,0.02775464890369137,934,429,36,465,469
Sierra,Q3,50-64,5652,97,119,2,93,1.7162066525123851,0.03538570417551309,670,412,26,438,232
Sierra,Q3,65+,8277,137,199,21,419,1.6551890781684186,0.25371511417180137,1056,658,42,700,356
Sierra,Q4,18-49,509,0,0,0,2,0,0,934,429,36,465,469
Sierra,Q4,50-64,412,0,0,0,7,0,0,670,412,26,438,232
Sierra,Q4,65+,619,0,0,0,39,0,0,1056,658,42,700,356
Siskiyou,Q1,0-17,76859,195,196,0,0,0.2537113415475091,0,6118,1292,181,1476,4642
Siskiyou,Q1,18-49,126082,283,295,1,7,0.22445709934804337,7.931346266715312e-4,14922,6468,1026,7494,7428
Siskiyou,Q1,50-64,64931,149,176,1,2,0.22947436509525496,0.00154009641003526,8041,5268,661,5929,2112
Siskiyou,Q1,65+,110065,262,327,17,66,0.2380411574978422,0.0154454186162722,11991,8705,844,9549,2442
Siskiyou,Q2,0-17,88027,2322,2365,1,2,2.637827030342963,0.00113601508628034,6118,1300,177,1480,4638
Siskiyou,Q2,18-49,171885,4259,4454,26,171,2.4778194723216105,0.01512639264624603,14922,6477,1035,7512,7410
Siskiyou,Q2,50-64,87997,2141,2466,52,263,2.4330374899144287,0.05909292362239621,8041,5271,669,5940,2101
Siskiyou,Q2,65+,140410,3717,4849,233,1397,2.647247347055053,0.16594259668114808,11991,8705,866,9571,2420
Siskiyou,Q3,0-17,64947,1076,1106,3,47,1.6567354920165671,0.00461915100004619,6118,1300,182,1485,4633
Siskiyou,Q3,18-49,113948,1899,2008,16,515,1.6665496542282443,0.01404149261066451,14922,6478,1040,7518,7404
Siskiyou,Q3,50-64,56929,1041,1284,49,1133,1.8285935112157248,0.08607212492754132,8041,5272,669,5941,2100
Siskiyou,Q3,65+,89928,1419,2059,191,4991,1.5779290098745662,0.212392135930967,11991,8705,873,9578,2413
Siskiyou,Q4,0-17,4809,0,0,0,4,0,0,6118,1300,190,1493,4625
Siskiyou,Q4,18-49,8784,0,0,0,43,0,0,14922,6478,1042,7520,7402
Siskiyou,Q4,50-64,6285,0,0,0,144,0,0,8041,5272,671,5943,2098
Siskiyou,Q4,65+,7339,0,0,0,461,0,0,11991,8705,874,9579,2412
Solano,Q1,0-17,862231,2262,2295,0,0,0.26234269006797484,0,98196,36659,5127,41792,56404
Solano,Q1,18-49,1609350,4007,4137,9,42,0.24898250846615097,5.592319880697176e-4,184205,133675,16927,150603,33602
Solano,Q1,50-64,756245,1888,2125,30,107,0.24965454317053337,0.00396696837665042,84246,71172,6881,78053,6193
Solano,Q1,65+,742358,1895,2290,76,284,0.2552676740871655,0.0102376481428098,78679,70767,6846,77613,1066
Solano,Q2,0-17,1081142,26605,27102,27,152,2.4608238325770344,0.00249735927380492,98196,36957,5161,42124,56072
Solano,Q2,18-49,1987460,47735,49914,253,1463,2.401809344590583,0.0127298159459813,184205,133849,17208,151058,33147
Solano,Q2,50-64,904409,22622,26238,555,3298,2.501301955199473,0.06136604124903666,84246,71204,6995,78199,6047
Solano,Q2,65+,910342,22538,28851,1381,8343,2.475772841415644,0.15170122876896813,78679,70781,7001,77782,897
Solano,Q3,0-17,775034,13575,13880,19,560,1.7515360616437472,0.00245150535331353,98196,37027,5237,42270,55926
Solano,Q3,18-49,1492814,27448,29204,254,6280,1.83867514640136,0.01701484578788784,184205,133879,17391,151271,32934
